Betreiber,Straße,Hausnummer,Postleitzahl,Ort,Bundesland,Breitengrad,Längengrad,Nennleistung Ladeeinrichtung [kW],Art der Ladeeinrichung,Anzahl Ladepunkte,Steckertypen1,P1 [kW],Steckertypen2,P2 [kW],Steckertypen3,P3 [kW],Steckertypen4,P4 [kW]
E.ON Drive GmbH,Blauort,11,25764,Wesselburen,Schleswig-Holstein,54.210577,8.921203,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive GmbH,Blauort,11,25764,Wesselburen,Schleswig-Holstein,54.210577,8.921203,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Heide GmbH,Markt,5,25764,Wesselburen,Schleswig-Holstein,54.212048,8.922101,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Heide GmbH,Dohrnstraße,1,25764,Wesselburen,Schleswig-Holstein,54.21525,8.922632,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive GmbH,Dorfstraße,28,25764,Wesselburener Deichhausen,Schleswig-Holstein,54.175073,8.936176,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive GmbH,Dorfstraße,28,25764,Wesselburener Deichhausen,Schleswig-Holstein,54.175073,8.936176,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive GmbH,Dorfstraße,28,25764,Wesselburener Deichhausen,Schleswig-Holstein,54.175073,8.936176,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Heide GmbH,Kapellenplatz,3,25767,Albersdorf,Schleswig-Holstein,54.147639,9.28279,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11.0,,,,
Autohaus Albersdorf GmbH,Wulf-Isebrand-Straße,1a,25767,Albersdorf,Schleswig-Holstein,54.143662,9.286028,39.65,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,DC Kupplung Combo,22.0,,,,
Citywatt GmbH,Carl-Friedrich-Benz Straße,1,25770,Hemmingstedt,Schleswig-Holstein,54.1651601,9.08891201,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Heide GmbH,Dorfstraße,55,25774,Hemme,Schleswig-Holstein,54.279943,9.011612,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Heide GmbH,Friedrichstraße,56,25774,Lunden,Schleswig-Holstein,54.33194752,9.02395009,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Heide GmbH,Friedrichstraße,56,25774,Lunden,Schleswig-Holstein,54.3319609,9.0240612,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Heide GmbH,Friedrichstraße,56,25774,Lunden,Schleswig-Holstein,54.3319894,9.024086,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Heide GmbH,Nordbahnhofstraße,7,25774,Lunden,Schleswig-Holstein,54.331918,9.025721,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Heide GmbH,Tannenweg,2,25774,Krempel,Schleswig-Holstein,54.3221142,9.0278106,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Stadtwerke Heide GmbH,Dorfstraße,72,25776,Sankt Annen,Schleswig-Holstein,54.352236,9.0749,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
GP JOULE Connect GmbH,Hauptstrasse,20,25779,Fedderingen,Schleswig-Holstein,54.283528,9.132361,99.0,Schnellladeeinrichtung,2,AC Kupplung Typ 2,50,"DC Kupplung Combo, DC CHAdeMO",50.0,,,,
GP JOULE Connect GmbH,Hauptstrasse,20,25779,Fedderingen,Schleswig-Holstein,54.283528,9.132528,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
GP JOULE Connect GmbH,Hauptstrasse,20,25779,Fedderingen,Schleswig-Holstein,54.2835,9.132639,22.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,
Eider-Treene-Sorge GmbH,Kirchenstr.,7,25779,Hennstedt,Schleswig-Holstein,54.2836,9.16695,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
GP JOULE Connect GmbH,Apeldör,2,25779,Hennstedt,Schleswig-Holstein,54.27868,9.195554,44.0,Normalladeeinrichtung,4,"AC Steckdose Typ 2, AC CEE 5 polig",11,"AC Steckdose Typ 2, AC CEE 5 polig",11.0,"AC Steckdose Typ 2, AC CEE 5 polig",11.0,"AC Steckdose Typ 2, AC CEE 5 polig",11.0
GP JOULE Connect GmbH,Apeldör,2,25779,Hennstedt,Schleswig-Holstein,54.27868,9.195554,22.0,Normalladeeinrichtung,2,"AC Steckdose Typ 2, AC CEE 5 polig",11,"AC Steckdose Typ 2, AC CEE 5 polig",11.0,,,,
Stadtwerke Heide GmbH,Heider Str.,22,25782,Tellingstedt,Schleswig-Holstein,54.218614,9.274603,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive GmbH,Hauptstr.,0,25782,Tellingstedt,Schleswig-Holstein,54.22042,9.28215,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive GmbH,Hauptstr.,0,25782,Tellingstedt,Schleswig-Holstein,54.22042,9.28215,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive GmbH,Hauptstr.,0,25782,Tellingstedt,Schleswig-Holstein,54.22042,9.28215,44.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Laue Festgarderoben,Rendsburger Str.,51,25782,Tellingstedt,Schleswig-Holstein,54.219657,9.296646,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
Abholstation Nordhastedt (Alpha Solar),Bürgermeister-Tiessen-Ring,28,25785,Nordhastedt,Schleswig-Holstein,54.176,9.171,11.0,Normalladeeinrichtung,1,AC Steckdose Typ 2,11,,,,,,
E.ON Drive GmbH,Mühlenkamp,17,25794,Pahlen,Schleswig-Holstein,54.263907,9.293793,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive GmbH,Fischerstraße,17,25794,Pahlen,Schleswig-Holstein,54.26372,9.298858,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive GmbH,Mühlenberg,47,25794,Pahlen,Schleswig-Holstein,54.26372,9.2988581,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
E.ON Drive GmbH,Hauptstraße,8,25794,Dörpling,Schleswig-Holstein,54.260656,9.303683,22.0,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AC Steckdose Typ 2,22.0,,,,
