Segment,Modell,Elektro
SUVs,FORD MUSTANG MACH-E,5774
SUVs,HONDA CR-V,-
SUVs,HONDA HR-V,-
SUVs,HYUNDAI BAYON,-
SUVs,HYUNDAI IONIQ5,14080
SUVs,HYUNDAI KONA,17029
SUVs,HYUNDAI NEXO,-
SUVs,HYUNDAI TUCSON,-
SUVs,JAGUAR I-PACE,390
SUVs,KIA EV6,4736
SUVs,KIA NIRO,5477
SUVs,KIA SPORTAGE,-
SUVs,KIA STONIC,-
SUVs,LADA NIVA,-
SUVs,LEXUS NX,-
SUVs,LEXUS RX,-
SUVs,LEXUS UX,17
SUVs,LYNK & CO 01,-
SUVs,MASERATI GRECALE,-
SUVs,MASERATI LEVANTE,-
SUVs,MAZDA CX-3,-
SUVs,MAZDA CX-5,-
SUVs,MAZDA CX-30,-
SUVs,MAZDA CX-60,-
SUVs,MAZDA MX-30,1815
SUVs,MERCEDES GLA,6883
SUVs,MERCEDES GLB,6111
SUVs,"MERCEDES GLK, GLC",4328
SUVs,MG ROEWE MARVEL,1316
SUVs,MG ROEWE RX6,-
SUVs,MG ROEWE ZS,2951
SUVs,MITSUBISHI ECLIPSE CROSS,-
SUVs,NISSAN ARIYA,652
SUVs,NISSAN QASHQAI,-
SUVs,OPEL CROSSLAND X,-
SUVs,OPEL GRANDLAND X,-
SUVs,OPEL MOKKA,12916
SUVs,PEUGEOT 2008,5425
SUVs,RENAULT ARKANA,-
SUVs,RENAULT AUSTRAL,-
SUVs,RENAULT CAPTUR,-
SUVs,RENAULT KADJAR,-
SUVs,RENAULT KOLEOS,-
SUVs,ROLLS ROYCE CULLINAN,-
SUVs,SEAT ARONA,-
SUVs,SEAT ATECA,-
SUVs,SEAT FORMENTOR,-
SUVs,SEAT TARRACO,-
SUVs,SKODA ENYAQ,12184
SUVs,SKODA KAMIQ,-
SUVs,SKODA KAROQ,-
SUVs,SMART 1,248
SUVs,SSANGYONG KORANDO,186
SUVs,SSANGYONG TIVOLI,-
SUVs,SUBARU SOLTERRA,115
SUVs,SUBARU XV,-
SUVs,SUZUKI ACROSS,-
SUVs,SUZUKI SX4,-
SUVs,SUZUKI VITARA,-
SUVs,TESLA MODEL X,248
SUVs,TESLA MODEL Y,35426
SUVs,TOYOTA BZ4,654
SUVs,TOYOTA C-HR,-
SUVs,TOYOTA HIGHLANDER,-
SUVs,TOYOTA RAV 4,-
SUVs,VOLVO C40,2009
SUVs,"VW ID.4, ID.5",24847
SUVs,VW T-CROSS,-
SUVs,VW T-ROC,-
SUVs,VW TAIGO,-
SUVs,SONSTIGE,-
SUVs ZUSAMMEN,,196836
GELÄNDEWAGEN,ASTON MARTIN DBX,-
GELÄNDEWAGEN,AUDI Q3,-
GELÄNDEWAGEN,AUDI Q5,-
GELÄNDEWAGEN,AUDI Q7,-
GELÄNDEWAGEN,AUDI Q8,21
GELÄNDEWAGEN,BENTLEY BENTAYGA,-
GELÄNDEWAGEN,BMW X3,4141
GELÄNDEWAGEN,BMW X4,-
GELÄNDEWAGEN,BMW X5,-
GELÄNDEWAGEN,BMW X6,-
GELÄNDEWAGEN,BMW X7,-
GELÄNDEWAGEN,CADILLAC ESCALADE,-
GELÄNDEWAGEN,HYUNDAI SANTA FE,-
GELÄNDEWAGEN,JAGUAR E-PACE,-
GELÄNDEWAGEN,JAGUAR F-PACE,-
GELÄNDEWAGEN,JEEP COMPASS,-
GELÄNDEWAGEN,JEEP RENEGADE,-
GELÄNDEWAGEN,JEEP WRANGLER,-
GELÄNDEWAGEN,KIA SORENTO,-
GELÄNDEWAGEN,LAMBORGHINI URUS,-
GELÄNDEWAGEN,LAND ROVER DEFENDER,-
GELÄNDEWAGEN,LAND ROVER DISCOVERY,-
GELÄNDEWAGEN,LAND ROVER DISCOVERY SPORT,-
GELÄNDEWAGEN,LAND ROVER RANGE ROVER,-
GELÄNDEWAGEN,LAND ROVER RANGE ROVER EVOQUE,-
GELÄNDEWAGEN,LAND ROVER RANGE ROVER SPORT,-
GELÄNDEWAGEN,LAND ROVER RANGE ROVER VELAR,-
GELÄNDEWAGEN,MERCEDES G-KLASSE,-
GELÄNDEWAGEN,"MERCEDES GL-KLASSE, GLS",-
GELÄNDEWAGEN,"MERCEDES ML-KLASSE, GLE",-
GELÄNDEWAGEN,NISSAN X-TRAIL,-
GELÄNDEWAGEN,PORSCHE CAYENNE,1
GELÄNDEWAGEN,PORSCHE MACAN,-
GELÄNDEWAGEN,SKODA KODIAQ,-
GELÄNDEWAGEN,SSANGYONG REXTON,-
GELÄNDEWAGEN,SUBARU FORESTER,-
GELÄNDEWAGEN,SUZUKI JIMNY,-
GELÄNDEWAGEN,TOYOTA LANDCRUISER,-
GELÄNDEWAGEN,VOLVO XC40,3203
GELÄNDEWAGEN,VOLVO XC60,-
GELÄNDEWAGEN,VOLVO XC90,-
GELÄNDEWAGEN,VW TIGUAN,-
GELÄNDEWAGEN,VW TOUAREG,-
GELÄNDEWAGEN,SONSTIGE,-
GELÄNDEWAGEN ZUSAMMEN,,7366
SPORTWAGEN,ALPINE A110,-
