ID,Betreiber,Straße,Hausnummer,Adresszusatz,Postleitzahl,Ort,Bundesland,Kreis/kreisfreie Stadt,Breitengrad,Längengrad,Inbetriebnahmedatum,Nennleistung Ladeeinrichtung [kW],Art der Ladeeinrichung,Anzahl Ladepunkte,Steckertypen1,P1 [kW],Public Key1,Steckertypen2,P2 [kW],Public Key2,Steckertypen3,P3 [kW],Public Key3,Steckertypen4,P4 [kW],Public Key4,ID
49,Stadtwerke Heide GmbH,Rüsdorfer Straße,1,,25746,Heide,Schleswig-Holstein,Kreis Dithmarschen,54.19555556,9.100555556,2016-09-12,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,49
50,Stadtwerke Heide GmbH,Hinrich-Schmidt-Straße,16,,25746,Heide,Schleswig-Holstein,Kreis Dithmarschen,54.188535,9.104559,2022-11-03,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,,AC Steckdose Typ 2,11,,,,,,,,50
51,Stadtwerke Heide GmbH,Hinrich-Schmidt-Straße,16,,25746,Heide,Schleswig-Holstein,Kreis Dithmarschen,54.188555,9.104648,2022-11-03,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,11,,AC Steckdose Typ 2,11,,,,,,,,51
52,Stadtwerke Heide GmbH,Stettiner Straße,30,,25746,Heide,Schleswig-Holstein,Kreis Dithmarschen,54.19361111,9.109166667,2016-08-23,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,52
53,Stadtwerke Heide GmbH,Landvoigt-Johannsen-Straße,61,,25746,Heide,Schleswig-Holstein,Kreis Dithmarschen,54.201802,9.11461,2018-10-01,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,53
54,Stadtwerke Heide GmbH,Professorin-Von-Wrangell-Straße,0,,25746,Heide,Schleswig-Holstein,Kreis Dithmarschen,54.194933,9.117676,2022-11-28,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,54
55,Stadtwerke Heide GmbH,Fritz-Thiedemann-Ring,20,,25746,Heide,Schleswig-Holstein,Kreis Dithmarschen,54.195946,9.121534,2018-09-06,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,55
56,Stadtwerke Heide GmbH,Fritz-Thiedemann-Ring,20,,25746,Heide,Schleswig-Holstein,Kreis Dithmarschen,54.195946,9.121534,2018-09-06,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,56
57,Stadtwerke Heide GmbH,Teichkoppel,12,,25746,Heide,Schleswig-Holstein,Kreis Dithmarschen,54.197534,9.122208,2019-03-19,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,57
58,Stadtwerke Heide GmbH,Lise-Meitner-Str,1-3,,25746,Heide,Schleswig-Holstein,Kreis Dithmarschen,54.1943246,9.1227282,2017-06-21,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,58
59,May & Olde GmbH,Süderdamm,2,,25746,Heide,Schleswig-Holstein,Kreis Dithmarschen,54.198344,9.125458,2020-11-17,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,59
60,Emil Frey Küstengarage GmbH,Süderdamm,1-3,Parkplatz,25746,Heide,Schleswig-Holstein,Kreis Dithmarschen,54.198865,9.125854,2022-05-11,39.6,Normalladeeinrichtung,2,DC Kupplung Combo,22,,AC Steckdose Typ 2,11,,,,,,,,60
