ID,Betreiber,Straße,Hausnummer,Adresszusatz,Postleitzahl,Ort,Bundesland,Kreis/kreisfreie Stadt,Breitengrad,Längengrad,Inbetriebnahmedatum,Nennleistung Ladeeinrichtung [kW],Art der Ladeeinrichung,Anzahl Ladepunkte,Steckertypen1,P1 [kW],Public Key1,Steckertypen2,P2 [kW],Public Key2,Steckertypen3,P3 [kW],Public Key3,Steckertypen4,P4 [kW],Public Key4,ID
392,Autohaus Bartels GmbH,Auf d. Nordheide,19,,27798,Hude,Schleswig-Holstein,Kreis Nordfriesland,53.109896,8.465104,2021-09-27,13.2,Normalladeeinrichtung,1,AC Steckdose Typ 2,11,,,,,,,,,,,392
393,Voltus GmbH 01,Loog,7,,23611,Bad Schwartau,Schleswig-Holstein,Kreis Ostholstein,53.92276,10.664542,2022-12-01,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,ALoG43CAFFUHLASbRXJ53AU3oJbLo5NC6SG7TEAZ,,,,,,,,,,393
394,Voltus GmbH 01,Loog,7,,23611,Bad Schwartau,Schleswig-Holstein,Kreis Ostholstein,53.922761,10.664577,2022-12-01,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,AMoE4FSGRiEHVAd3PQQCNKHV7JGP6EF3G6EiYEoF,,,,,,,,,,394
395,Voltus GmbH 01,Loog,7,,23611,Bad Schwartau,Schleswig-Holstein,Kreis Ostholstein,53.922755,10.664637,2022-12-01,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,AKHooZ325oTZFi6TdNXJdUPT4AoG2FdXXdJLZGKA,,,,,,,,,,395
396,Voltus GmbH 01,Loog,7,,23611,Bad Schwartau,Schleswig-Holstein,Kreis Ostholstein,53.922755,10.664672,2022-12-01,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,AKLFYVSJMZ77RM6TPdVLZXZ3QQYiU23TNCGVMLFZ,,,,,,,,,,396
397,Voltus GmbH 01,Loog,7,,23611,Bad Schwartau,Schleswig-Holstein,Kreis Ostholstein,53.922918,10.664767,2022-12-01,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,AoJ5P7RdGWUS4LE2iGFVM5WTAdNRPV2i4biEZFA2,,,,,,,,,,397
398,Voltus GmbH 01,Loog,7,,23611,Bad Schwartau,Schleswig-Holstein,Kreis Ostholstein,53.922896,10.664789,2022-12-01,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,ALPGSXJ6ANXRd6i5iXWVPiLdMN2iJZo7J5d7LGKC,,,,,,,,,,398
399,Voltus GmbH 01,Loog,7,,23611,Bad Schwartau,Schleswig-Holstein,Kreis Ostholstein,53.922876,10.664814,2022-12-01,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,AMU4oJdHWPLCb5AHEUC6E5EMSbHG6WbV7FFMLJbT,,,,,,,,,,399
400,Voltus GmbH 01,Loog,7,,23611,Bad Schwartau,Schleswig-Holstein,Kreis Ostholstein,53.922855,10.664834,2022-12-01,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,AL6KP6WGKPB6YI5LOTNMMRNIBQSZ7JXX5LVZJN7U,,,,,,,,,,400
401,Voltus GmbH 01,Loog,7,,23611,Bad Schwartau,Schleswig-Holstein,Kreis Ostholstein,53.923421,10.665214,2022-12-01,225,Schnellladeeinrichtung,2,DC Kupplung Combo,225,3056301006072A8648CE3D020106052B8104000A03420004292A91EFF5B94C8681ED4CD8EBE98EDDF2D94EC3D38B8A3A26236B1F507B70D5333B86208E1EA2E79B13BDF1146AD3A9CF7175393ADEEF62B63BEBE2363E5F9D,DC Kupplung Combo,225,3056301006072A8648CE3D020106052B8104000A03420004F8471993681A254E5C1B3C15B25436A9573A2A7A73F6710DACE50A6837B5825C48A0BFF9BB252B41A450C57B6E608A60AA6C29D24A6BFB9BE2B56C9331B2FEDF,,,,,,,401
402,Voltus GmbH 01,Loog,7,,23611,Bad Schwartau,Schleswig-Holstein,Kreis Ostholstein,53.923398,10.665292,2022-12-01,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,ALEFA5dPCFCdAoYYY5R24NQLN3Xi7A74NiUHC4HK,,,,,,,,,,402
403,Voltus GmbH 01,Loog,7,,23611,Bad Schwartau,Schleswig-Holstein,Kreis Ostholstein,53.923407,10.665322,2022-12-01,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,AJFoCWEG72YS7RT6UY5dPYTL3JbCiQT6PTWWEKXY,,,,,,,,,,403
404,Voltus GmbH 01,Loog,7,,23611,Bad Schwartau,Schleswig-Holstein,Kreis Ostholstein,53.923405,10.665377,2022-12-01,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,AJWPYVdCECiLU2MHLTWLV3CLAPi4Q763NMXKQTVM,,,,,,,,,,404
405,Voltus GmbH 01,Loog,7,,23611,Bad Schwartau,Schleswig-Holstein,Kreis Ostholstein,53.923415,10.665407,2022-12-01,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,AJ6dVLGEX4b3VLH6KQXKbPb6oPiCWH2NQKV3XYQW,,,,,,,,,,405
406,Voltus GmbH 01,Loog,7,,23611,Bad Schwartau,Schleswig-Holstein,Kreis Ostholstein,53.923418,10.665444,2022-12-01,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,AKb45i2o7FV5UKbLY3TXQQJGPHYYTod7C5YiTZSN,,,,,,,,,,406
407,Voltus GmbH 01,Loog,7,,23611,Bad Schwartau,Schleswig-Holstein,Kreis Ostholstein,53.923423,10.665466,2022-12-01,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,AKH7REbXSTZiEdJMR2RQ6FHR4MRHLFLGGNYXUUU6,,,,,,,,,,407
408,Voltus GmbH 01,Loog,7,,23611,Bad Schwartau,Schleswig-Holstein,Kreis Ostholstein,53.92343,10.66551,2022-12-01,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,AKXbYG7JHZC2KS5K7CZXUR35CYV2M5P74QZ7W42Y,,,,,,,,,,408
409,Voltus GmbH 01,Loog,7,,23611,Bad Schwartau,Schleswig-Holstein,Kreis Ostholstein,53.92343,10.66553,2022-12-01,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,AOCN26W5A5WVSDCWI4WCFBY5AX4TT6QIEE63GVWA,,,,,,,,,,409
410,Voltus GmbH 01,Loog,7,,23611,Bad Schwartau,Schleswig-Holstein,Kreis Ostholstein,53.923449,10.665606,2023-01-05,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,AMYTJENQJb4NdW2U5RRCEGFAToKM2XUWd3QLN6JK,,,,,,,,,,410
411,Voltus GmbH 01,Loog,7,,23611,Bad Schwartau,Schleswig-Holstein,Kreis Ostholstein,53.923449,10.665606,2023-01-05,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,Ao6NWEiZ3YoSSCM6EC5TNTRKKCGAd4ZFNYF737EP,,,,,,,,,,411
412,Voltus GmbH 01,Loog,7,,23611,Bad Schwartau,Schleswig-Holstein,Kreis Ostholstein,53.92346,10.665679,2023-01-05,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,AoC56W6SEo4PT7QLJYTRGN6dXVKQiVSTQbECoCUR,,,,,,,,,,412
413,Voltus GmbH 01,Loog,7,,23611,Bad Schwartau,Schleswig-Holstein,Kreis Ostholstein,53.92346,10.665679,2023-01-05,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,Ai6Z7ELYKH73YGU753RMdFZMKKMZi4GAdAWGU57S,,,,,,,,,,413
414,Voltus GmbH 01,Loog,7,,23611,Bad Schwartau,Schleswig-Holstein,Kreis Ostholstein,53.923474,10.665752,2023-01-05,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,AJaV4ZWQi6iZFRFooPPMVW5UUNCCEJ3VMSAJYYdJ,,,,,,,,,,414
415,Voltus GmbH 01,Loog,7,,23611,Bad Schwartau,Schleswig-Holstein,Kreis Ostholstein,53.923474,10.665752,2023-01-05,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,AiEUX3QZVoo3FCd63GVCMbKKYVb3NL6PbUZMd3ML,,,,,,,,,,415
416,Voltus GmbH 01,Loog,7,,23611,Bad Schwartau,Schleswig-Holstein,Kreis Ostholstein,53.92348,10.665826,2023-01-05,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,AMJbd4RQ7KQMibKHTYQHVFFFbU6HZTLXG2Y57REH,,,,,,,,,,416
417,Voltus GmbH 01,Loog,7,,23611,Bad Schwartau,Schleswig-Holstein,Kreis Ostholstein,53.92348,10.665826,2023-01-05,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,AoQCNAUWMWUdM3d7Q73CSJTSoP6UdiLiW6RAiNdo,,,,,,,,,,417
418,Voltus GmbH 01,Haydnring,72,,23611,Bad Schwartau,Schleswig-Holstein,Kreis Ostholstein,53.926061,10.685174,2022-12-01,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,ALTURF3LFCMHUXFVAVSIDH23G6TNLD4MZAOXUB7W,AC Steckdose Typ 2,22,ALSQP7IEEMHJJOE75L3PLQWRXWCMFFHWXLB5TW6Q,,,,,,,418
419,Voltus GmbH 01,Haydnring,72,,23611,Bad Schwartau,Schleswig-Holstein,Kreis Ostholstein,53.925981,10.685318,2022-12-01,22,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,AMECHRZIG3ROHM2AFNI7GU4N5FJNK3J3MAFBIHI2,AC Steckdose Typ 2,22,ANJXZSWLX6CNDHH7YTZGYZJKHFNZP2MVJ6R6S4TR,,,,,,,419
420,E.ON Drive GmbH,Zentralparkplatz,1,,23611,Bad Schwartau,Schleswig-Holstein,Kreis Ostholstein,53.918375,10.69574,2018-03-08,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,420
421,E.ON Drive GmbH,Zentralparkplatz,1,,23611,Bad Schwartau,Schleswig-Holstein,Kreis Ostholstein,53.91838,10.69574,2018-01-16,93,Schnellladeeinrichtung,2,AC Kupplung Typ 2,43,,"DC Kupplung Combo, DC CHAdeMO",50,,,,,,,,421
422,E.ON Drive GmbH,Rensefelder Straße,2,,23611,Bad Schwartau,Schleswig-Holstein,Kreis Ostholstein,53.919966,10.695921,2018-03-08,22,Normalladeeinrichtung,1,AC Steckdose Typ 2,22,,,,,,,,,,,422
423,E.ON Drive GmbH,Zentralparkplatz,1,,23611,Bad Schwartau,Schleswig-Holstein,Kreis Ostholstein,53.91776,10.69634,2022-02-24,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,423
424,E.ON Drive GmbH,Auguststr.,2,,23611,Bad Schwartau,Schleswig-Holstein,Kreis Ostholstein,53.9182,10.69787,2018-03-20,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,424
425,Allego GmbH,Sereetzer Feld,1,,23611,Sereetz,Schleswig-Holstein,Kreis Ostholstein,53.926944,10.722568,2016-12-27,93,Schnellladeeinrichtung,2,"DC Kupplung Combo, DC CHAdeMO",50,,AC Kupplung Typ 2,43,,,,,,,,425
426,E.ON Drive GmbH,Berliner Straße,53,,23611,Sereetz,Schleswig-Holstein,Kreis Ostholstein,53.923278,10.736825,2018-04-25,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,426
427,HanseWerk Charging Station,Berliner Straße,76,Parkplatz Sportverein,23611,Sereetz,Schleswig-Holstein,Kreis Ostholstein,53.923278,10.736825,2022-05-10,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,427
428,Comfort Charge,Segeberger Str.,25,,23617,Stockelsdorf,Schleswig-Holstein,Kreis Ostholstein,53.88635,10.6483,2023-01-22,200,Schnellladeeinrichtung,2,DC Kupplung Combo,200,,DC Kupplung Combo,200,,,,,,,,428
429,Autohaus Ahrensbök GmbH,Segeberger Chaussee,2A,,23623,Ahrensbök,Schleswig-Holstein,Kreis Ostholstein,54.015923,10.570551,2021-08-05,39.6,Normalladeeinrichtung,2,DC Kupplung Combo,22,,AC Steckdose Typ 2,11,,,,,,,,429
430,Stadtwerke Eutin GmbH,Poststraße,0,,23623,Ahrensbök,Schleswig-Holstein,Kreis Ostholstein,54.012848,10.572616,2019-05-17,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,430
431,E.ON Drive GmbH,Bäderstraße,19,,23626,Ratekau,Schleswig-Holstein,Kreis Ostholstein,53.94751,10.73615,2018-04-25,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,431
432,HanseWerk Charging Station,Bäderstraße,19,,23626,Ratekau,Schleswig-Holstein,Kreis Ostholstein,53.947516,10.736153,2022-04-27,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,432
433,Westenergie Metering GmbH,Dorfstraße,8z,,23629,Scharbeutz,Schleswig-Holstein,Kreis Ostholstein,54.028997,10.663189,2021-11-03,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,,,,,,,,,,433
434,Westenergie Metering GmbH,An der Aalbeek,900,,23669,Timmendorfer Strand,Schleswig-Holstein,Kreis Ostholstein,53.99017,8.12683,2019-01-14,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,434
435,Westenergie Metering GmbH,Dorfstr.,30,,23669,Timmendorfer Strand,Schleswig-Holstein,Kreis Ostholstein,53.9881,10.748,2018-11-21,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,435
436,Westenergie Metering GmbH,Dorfstr.,30 Z,,23669,Timmendorfer Strand,Schleswig-Holstein,Kreis Ostholstein,53.98807,10.74803,2018-11-21,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,436
437,auto schneider gmbh,Vogelsang,6-8,,23669,Timmendorfer Strand,Schleswig-Holstein,Kreis Ostholstein,53.987256,10.769858,2021-05-19,13.2,Normalladeeinrichtung,1,AC Steckdose Typ 2,11,,,,,,,,,,,437
438,Westenergie Metering GmbH,Seestraße,3,,23669,Timmendorfer Strand,Schleswig-Holstein,Kreis Ostholstein,53.974836,10.772399,2021-04-13,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,,,,,,,,,,438
439,Westenergie Metering GmbH,Wohldstr.,24,,23669,Timmendorfer Strand,Schleswig-Holstein,Kreis Ostholstein,54.0001,10.773,2018-11-26,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,439
440,Westenergie Metering GmbH,Wohldstr.,24,,23669,Timmendorfer Strand,Schleswig-Holstein,Kreis Ostholstein,54.0001,10.773,2018-11-26,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,,,,,,,,,,440
441,Westenergie Metering GmbH,Strandallee,42,,23669,Timmendorfer Strand,Schleswig-Holstein,Kreis Ostholstein,54.00443,10.774519,2018-11-14,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,441
442,Westenergie Metering GmbH,Strandallee,42 Z,,23669,Timmendorfer Strand,Schleswig-Holstein,Kreis Ostholstein,54.0045,10.775,2018-11-14,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,442
443,Westenergie Metering GmbH,Strandallee,84,,23669,Timmendorfer Strand,Schleswig-Holstein,Kreis Ostholstein,53.998729,10.779577,2012-10-02,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,443
444,Westenergie Metering GmbH,Höppnerweg,10,,23669,Timmendorfer Strand,Schleswig-Holstein,Kreis Ostholstein,53.994444,10.780556,2013-05-28,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,444
445,Westenergie Metering GmbH,Poststraße,14 Z,,23669,Timmendorfer Strand,Schleswig-Holstein,Kreis Ostholstein,53.9973,10.781,2018-11-14,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,445
446,Westenergie Metering GmbH,Poststraße,14,,23669,Timmendorfer Strand,Schleswig-Holstein,Kreis Ostholstein,53.9974,10.781,2018-11-14,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,446
447,Westenergie Metering GmbH,Poststr.,14,ggü.,23669,Timmendorfer Strand,Schleswig-Holstein,Kreis Ostholstein,53.9974,10.7811,2019-12-18,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,447
448,Westenergie Metering GmbH,Höppnerweg,7 Z,,23669,Timmendorfer Strand,Schleswig-Holstein,Kreis Ostholstein,53.9945,10.7816,2018-11-14,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,448
449,Westenergie Metering GmbH,Höppnerweg,7 Z,,23669,Timmendorfer Strand,Schleswig-Holstein,Kreis Ostholstein,53.9945,10.7816,2018-11-14,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,449
450,Westenergie Metering GmbH,Höppnerweg,7,,23669,Timmendorfer Strand,Schleswig-Holstein,Kreis Ostholstein,53.99445,10.78164,2018-11-14,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,450
451,Westenergie Metering GmbH,Wiesenweg,14 Z,,23669,Timmendorfer Strand,Schleswig-Holstein,Kreis Ostholstein,53.9902,10.7925,2018-11-26,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,451
452,Westenergie Metering GmbH,Wiesenweg,14,,23669,Timmendorfer Strand,Schleswig-Holstein,Kreis Ostholstein,53.9903,10.7926,2018-11-26,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,452
453,Westenergie Metering GmbH,An der Aalbeek,0,,23669,Timmendorfer Strand,Schleswig-Holstein,Kreis Ostholstein,53.9898,10.814,2019-01-14,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,,,,,,,,,,453
454,Westenergie Metering GmbH,Strandstr.,56,,23669,Timmendorfer Strand,Schleswig-Holstein,Kreis Ostholstein,53.9926,10.8155,2018-11-21,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,454
455,Dr. Uwe Armbrecht,Strandstrasse,53,,23669,Niendorf,Schleswig-Holstein,Kreis Ostholstein,53.9936,10.81859,2023-03-17,22,Normalladeeinrichtung,2,AC Kupplung Typ 2,22,,AC Kupplung Typ 2,22,,,,,,,,455
456,Westenergie Metering GmbH,Paduaweg,3,,23669,Timmendorfer Strand,Schleswig-Holstein,Kreis Ostholstein,53.991145,10.83253,2018-04-11,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,456
457,Westenergie Metering GmbH,Paduaweg,3,,23669,Timmendorfer Strand,Schleswig-Holstein,Kreis Ostholstein,53.991145,10.83253,2018-04-11,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,457
458,Westenergie Metering GmbH,Bahnhofstraße,48z,,23683,Scharbeutz,Schleswig-Holstein,Kreis Ostholstein,54.053667,10.742597,2021-11-01,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,,,,,,,,,,458
459,Westenergie Metering GmbH,Wennseestraße,0,,23683,Scharbeutz,Schleswig-Holstein,Kreis Ostholstein,54.0202,10.744128,2021-11-10,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,,,,,,,,,,459
460,Westenergie Metering GmbH,Waldweg,1,,23683,Scharbeutz,Schleswig-Holstein,Kreis Ostholstein,54.047202,10.748738,2021-11-01,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,,,,,,,,,,460
461,Westenergie Metering GmbH,Wiesenweg,1z,,23683,Scharbeutz,Schleswig-Holstein,Kreis Ostholstein,54.050317,10.748747,2021-11-01,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,,,,,,,,,,461
462,Westenergie Metering GmbH,Glockenstr.,2,Am Bürgerhaus,23683,Scharbeutz,Schleswig-Holstein,Kreis Ostholstein,54.021467,10.74935,2017-08-31,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,462
463,Westenergie Metering GmbH,Pönitzer Chaussee,1,,23683,Scharbeutz,Schleswig-Holstein,Kreis Ostholstein,54.034883,10.750136,2021-10-26,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,,,,,,,,,,463
464,Westenergie Metering GmbH,Pönitzer Chaussee,1,,23683,Scharbeutz,Schleswig-Holstein,Kreis Ostholstein,54.034892,10.750231,2021-10-26,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,,,,,,,,,,464
465,Westenergie Metering GmbH,Strandallee,12z,,23683,Scharbeutz,Schleswig-Holstein,Kreis Ostholstein,54.051146,10.751585,2021-04-19,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,,,,,,,,,,465
466,Westenergie Metering GmbH,Trelleborgstraße,1z,,23683,Scharbeutz,Schleswig-Holstein,Kreis Ostholstein,54.030297,10.752181,2021-10-26,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,,,,,,,,,,466
467,Westenergie Metering GmbH,Seestraße,11z,Seestraße / Badeweg,23683,Scharbeutz,Schleswig-Holstein,Kreis Ostholstein,54.024722,10.755556,2013-05-28,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,467
468,Westenergie Metering GmbH,Fischerstieg Ecke Badeweg,0,,23683,Scharbeutz,Schleswig-Holstein,Kreis Ostholstein,54.024782,10.75604,2013-05-28,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,,,,,,,,,,468
469,Westenergie Metering GmbH,Muschelstieg,0,,23683,Scharbeutz,Schleswig-Holstein,Kreis Ostholstein,54.026325,10.756603,2018-06-28,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,,,,,,,,,,469
470,Westenergie Metering GmbH,Muschelstieg,0,,23683,Scharbeutz,Schleswig-Holstein,Kreis Ostholstein,54.026325,10.756603,2018-06-28,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,,,,,,,,,,470
471,Westenergie Metering GmbH,Konsulweg,8z,,23683,Scharbeutz,Schleswig-Holstein,Kreis Ostholstein,54.01905,10.757257,2021-11-08,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,,,,,,,,,,471
472,Westenergie Metering GmbH,Ostseestraße,1,,23683,Scharbeutz,Schleswig-Holstein,Kreis Ostholstein,54.022417,10.758064,2021-10-29,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,,,,,,,,,,472
473,Westenergie Metering GmbH,Strandallee,0,,23683,Scharbeutz,Schleswig-Holstein,Kreis Ostholstein,54.012194,10.769069,2021-11-03,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,,,,,,,,,,473
474,Westenergie Metering GmbH,Lindenstraße,31z,,23684,Scharbeutz,Schleswig-Holstein,Kreis Ostholstein,54.044914,10.671597,2021-11-10,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,,,,,,,,,,474
475,Westenergie Metering GmbH,Lindenstraße,34z,,23684,Scharbeutz,Schleswig-Holstein,Kreis Ostholstein,54.045536,10.673567,2021-11-02,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,,,,,,,,,,475
476,E.ON Drive GmbH,Gustav-Friedrich-Meyer-Straße,1,,23684,Pönitz,Schleswig-Holstein,Kreis Ostholstein,54.04429,10.679338,2018-04-13,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,476
477,HanseWerk Charging Station,Gustav-Friedrich-Meyer-Straße 1,1,,23684,Pönitz,Schleswig-Holstein,Kreis Ostholstein,54.04432,10.679456,2022-05-24,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,477
478,Westenergie Metering GmbH,Seestraße,43z,,23684,Scharbeutz,Schleswig-Holstein,Kreis Ostholstein,54.027267,10.702633,2021-11-03,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,,,,,,,,,,478
479,Stadtwerke Eutin GmbH,Elisabethstraße,0,,23701,Eutin,Schleswig-Holstein,Kreis Ostholstein,54.135205,10.609328,2015-10-15,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,479
480,Comfort Charge,Am Mühlenberg,2,,23701,Eutin,Schleswig-Holstein,Kreis Ostholstein,54.13626,10.61152,2023-01-22,200,Schnellladeeinrichtung,2,DC Kupplung Combo,200,,DC Kupplung Combo,200,,,,,,,,480
481,Stadtwerke Eutin GmbH,Holstenstraße,6,,23701,Eutin,Schleswig-Holstein,Kreis Ostholstein,54.142054,10.612433,2014-07-15,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,481
482,Stadtwerke Eutin GmbH,Holstenstraße,2,,23701,Eutin,Schleswig-Holstein,Kreis Ostholstein,54.142017,10.612487,2022-08-22,150,Schnellladeeinrichtung,3,DC Kupplung Combo,50,,DC Kupplung Combo,50,,AC Steckdose Typ 2,22,,,,,482
483,Stadtwerke Eutin GmbH,Am Stadtgraben,6,,23701,Eutin,Schleswig-Holstein,Kreis Ostholstein,54.136649,10.614942,2022-06-13,150,Schnellladeeinrichtung,3,DC Kupplung Combo,75,,DC Kupplung Combo,75,,AC Steckdose Typ 2,22,,,,,483
484,Stadtwerke Eutin GmbH,Berliner Platz,1,,23701,Eutin,Schleswig-Holstein,Kreis Ostholstein,54.133863,10.6153,2022-08-22,150,Schnellladeeinrichtung,3,DC Kupplung Combo,50,,DC Kupplung Combo,50,,AC Steckdose Typ 2,22,,,,,484
485,Stadtwerke Eutin GmbH,Weidestraße,0,,23701,Eutin,Schleswig-Holstein,Kreis Ostholstein,54.130451,10.615896,2018-11-30,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,485
486,Stadtwerke Eutin GmbH,Segenhörn,1,Parkplatz,23701,Eutin,Schleswig-Holstein,Kreis Ostholstein,54.134944,10.616075,2022-08-22,150,Schnellladeeinrichtung,2,DC Kupplung Combo,50,,DC Kupplung Combo,50,,,,,,,,486
487,Stadtwerke Eutin GmbH,Segenhörn,0,,23701,Eutin,Schleswig-Holstein,Kreis Ostholstein,54.134962,10.616084,2015-10-15,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,487
488,Kreis Ostholstein,Jungfernstieg,1,,23701,Eutin,Schleswig-Holstein,Kreis Ostholstein,54.13361,10.61928,2019-10-09,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,488
489,Stadtwerke Eutin GmbH,Jungfernstieg,3a,,23701,Eutin,Schleswig-Holstein,Kreis Ostholstein,54.134711,10.619403,2018-12-11,44,Normalladeeinrichtung,2,AC Steckdose Typ 2,22,,AC Steckdose Typ 2,22,,,,,,,,489
